visited_at,posts_read,mobile,time_read
2025-08-31,11,true,386
2025-09-01,3,true,1207
2025-09-02,12,true,1668
2025-09-03,8,true,563
2025-09-04,33,true,2143
2025-09-05,15,true,864
2025-09-06,23,true,1532
2025-09-07,17,true,1047
2025-09-08,15,true,1826
2025-09-09,4,true,373
2025-09-10,4,true,238
2025-09-11,12,true,1753
2025-09-12,8,true,505
2025-09-13,12,true,2403
2025-09-14,13,true,746
2025-09-15,17,true,4357
2025-09-16,23,true,2610
2025-09-17,12,true,3280
2025-09-18,11,true,2321
2025-09-19,13,true,3025
2025-09-20,13,true,1413
2025-09-21,10,true,1045
2025-09-22,10,true,1952
2025-09-23,22,true,1097
2025-09-24,11,true,1474
2025-09-25,2,true,1017
2025-09-26,1,true,928
2025-09-27,9,true,2587
2025-09-28,22,true,2264
2025-09-29,10,true,2139
2025-09-30,5,true,1567
2025-10-01,6,true,1423
2025-10-02,6,true,1269
2025-10-03,7,true,1108
2025-10-04,4,false,2063
2025-10-05,8,true,1472
2025-10-06,10,true,4297
2025-10-07,5,true,1470
2025-10-08,3,true,803
2025-10-09,8,true,1159
2025-10-10,4,true,330
2025-10-11,20,true,3018
2025-10-12,12,true,1135
2025-10-13,5,true,2470
2025-10-14,7,true,3495
2025-10-15,9,true,1430
2025-10-16,1,true,551
2025-10-17,3,true,546
2025-10-18,9,true,2018
2025-10-19,3,true,874
2025-10-20,1,false,61
2025-10-21,5,true,695
2025-10-22,6,true,477
2025-10-23,3,true,2399
2025-10-24,7,true,714
2025-10-25,2,true,68
2025-10-26,12,true,924
2025-10-27,2,true,1932
2025-10-28,2,true,1092
2025-10-29,5,true,792
2025-10-30,4,true,727
2025-10-31,10,true,531
2025-11-01,11,true,1950
2025-11-02,10,true,922
2025-11-03,16,true,2177
2025-11-04,5,true,791
2025-11-05,11,true,1254
2025-11-06,5,true,2267
2025-11-07,10,true,1162
2025-11-08,5,true,493
2025-11-09,13,true,1220
2025-11-10,4,true,1087
2025-11-11,0,false,19
2025-11-12,3,false,1186
2025-11-13,1,true,127
2025-11-14,4,true,167
2025-11-15,10,true,428
2025-11-16,14,true,795
2025-11-17,5,true,765
2025-11-18,2,true,147
2025-11-19,2,true,481
2025-11-20,17,true,997
2025-11-21,4,true,378
2025-11-22,3,true,153
2025-11-23,17,true,678
2025-11-24,8,true,442
2025-11-25,14,true,534
2025-11-26,7,true,265
2025-11-27,4,true,336
2025-11-28,14,true,715
2025-11-29,5,true,2440
2025-11-30,16,true,1056
2025-12-01,7,true,1220
2025-12-02,3,true,220
2025-12-03,7,true,2473
2025-12-04,2,true,1300
2025-12-05,8,true,2754
2025-12-06,7,true,1318
